"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"0943",020241213,"PAY   ",-0000000054896.40,"ELECTRONIC BANKING PAYMENT TO ","SR612 SR6124 ROBURN ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000055262.38,"ELECTRONIC BANKING PAYMENT TO ","SA618 SA6183 AL2KG  ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000055458.80,"ELECTRONIC BANKING PAYMENT TO ","CR508 CR5087 RWK EL NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000056050.43,"ELECTRONIC BANKING PAYMENT TO ","SC617 SC6178 CALIBI ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000057882.83,"ELECTRONIC BANKING PAYMENT TO ","CD501 CD5019 DESLEY NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000061691.18,"ELECTRONIC BANKING PAYMENT TO ","CV701 CV7012 VANSTO NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000062423.35,"ELECTRONIC BANKING PAYMENT TO ","CO703 CO7038 OTTO S NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000064408.94,"ELECTRONIC BANKING PAYMENT TO ","SW604 SW6043 WIXONI NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000064894.28,"ELECTRONIC BANKING PAYMENT TO ","SG610 SG6101 GIBCON NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000065380.34,"ELECTRONIC BANKING PAYMENT TO ","SK607 SK6078 K20152 ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000066114.00,"ELECTRONIC BANKING PAYMENT TO ","SN611 SN6118 NKOMO  ZCX8314:21        ",000509,000.00
